               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,             0.01498,           0.0098271,          0.00051317,             0.99593,             0.98952,             0.99487,             0.90656,            0.010651,           0.0076271,          0.00043321,             0.00604,             0.00604,             0.00604
                  62,              0.0152,           0.0096775,          0.00046778,             0.99214,             0.99897,             0.99474,             0.88041,            0.011194,           0.0074739,          0.00051197,            0.005974,            0.005974,            0.005974
                  63,            0.015213,           0.0098432,           0.0005725,             0.99006,              0.9993,             0.99474,             0.90354,            0.011685,           0.0079018,          0.00044254,            0.005908,            0.005908,            0.005908
                  64,            0.015137,           0.0099355,          0.00046918,             0.99345,              0.9935,             0.99487,             0.89716,            0.010979,           0.0079477,          0.00039254,            0.005842,            0.005842,            0.005842
                  65,            0.014446,            0.010117,          0.00052486,              0.9981,             0.99334,             0.99497,             0.87339,            0.011053,           0.0079041,          0.00049387,            0.005776,            0.005776,            0.005776
                  66,            0.014381,           0.0098141,          0.00056868,              0.9944,             0.99325,               0.995,             0.90987,            0.010757,           0.0077215,          0.00046061,             0.00571,             0.00571,             0.00571
                  67,            0.014362,             0.00944,          0.00046249,             0.99893,             0.99363,             0.99497,             0.91426,            0.010506,           0.0073883,          0.00038362,            0.005644,            0.005644,            0.005644
                  68,            0.014641,           0.0099293,          0.00045823,             0.99766,             0.99641,               0.995,              0.8877,            0.010928,           0.0074205,          0.00042719,            0.005578,            0.005578,            0.005578
                  69,            0.013922,           0.0096869,          0.00062779,             0.99516,             0.99682,             0.99497,             0.89885,           0.0096544,           0.0073278,          0.00055861,            0.005512,            0.005512,            0.005512
                  70,            0.014016,            0.009682,          0.00062501,             0.99402,             0.99682,             0.99497,             0.91333,             0.01024,           0.0077301,          0.00044412,            0.005446,            0.005446,            0.005446
                  71,             0.01388,           0.0095617,          0.00038687,             0.99158,             0.99019,             0.99487,             0.92606,           0.0098947,           0.0074462,          0.00032633,             0.00538,             0.00538,             0.00538
                  72,            0.013968,           0.0092856,          0.00035886,             0.99546,              0.9935,             0.99497,             0.91592,            0.010269,           0.0074409,          0.00033195,            0.005314,            0.005314,            0.005314
                  73,            0.013474,            0.009787,          0.00046094,             0.99268,             0.99019,              0.9914,             0.91476,           0.0098229,           0.0072111,          0.00047709,            0.005248,            0.005248,            0.005248
                  74,            0.013405,           0.0092942,          0.00058128,               0.996,              0.9935,              0.9945,             0.90292,            0.010115,           0.0072645,           0.0004722,            0.005182,            0.005182,            0.005182
                  75,            0.013844,           0.0094511,          0.00049788,             0.99609,             0.99647,             0.99497,             0.91563,            0.009426,           0.0072561,          0.00033801,            0.005116,            0.005116,            0.005116
                  76,            0.013628,           0.0094166,          0.00033885,             0.99385,             0.99305,             0.99497,             0.91876,           0.0096625,            0.006993,          0.00031571,             0.00505,             0.00505,             0.00505
                  77,            0.013078,           0.0095256,          0.00050052,             0.99097,             0.99507,             0.99474,             0.91161,           0.0097866,           0.0070959,          0.00046438,            0.004984,            0.004984,            0.004984
                  78,            0.013074,           0.0091954,          0.00063864,             0.99646,             0.98875,             0.99164,             0.90834,            0.010663,           0.0077662,          0.00051234,            0.004918,            0.004918,            0.004918
                  79,            0.012719,           0.0090454,          0.00044485,             0.99029,              0.9991,             0.99497,             0.92269,           0.0099604,           0.0072316,          0.00036305,            0.004852,            0.004852,            0.004852
                  80,            0.012685,           0.0092018,          0.00037524,             0.99529,             0.99918,             0.99493,             0.92474,           0.0096609,           0.0071936,           0.0003692,            0.004786,            0.004786,            0.004786
                  81,            0.012425,           0.0092188,          0.00051814,             0.99671,             0.99636,             0.99493,             0.91588,            0.009878,           0.0071074,          0.00041609,             0.00472,             0.00472,             0.00472
                  82,            0.012553,           0.0090839,          0.00051421,             0.99535,             0.99634,             0.99493,              0.9144,            0.010165,           0.0073664,          0.00035777,            0.004654,            0.004654,            0.004654
                  83,            0.012117,           0.0088775,          0.00038846,             0.99446,              0.9935,             0.99474,             0.91536,           0.0093725,           0.0074169,           0.0003464,            0.004588,            0.004588,            0.004588
                  84,            0.012391,           0.0089256,          0.00039543,             0.99485,             0.99032,             0.99447,             0.92202,            0.009576,           0.0073862,          0.00033708,            0.004522,            0.004522,            0.004522
                  85,            0.012169,           0.0089845,          0.00037798,             0.99427,             0.99032,             0.99434,             0.91734,           0.0092503,           0.0074141,          0.00035842,            0.004456,            0.004456,            0.004456
                  86,            0.012266,            0.009153,          0.00038293,             0.99366,             0.99302,               0.995,             0.91961,           0.0091996,           0.0072851,          0.00035051,             0.00439,             0.00439,             0.00439
                  87,            0.011757,           0.0084489,          0.00036614,             0.99541,             0.99049,               0.995,             0.93023,           0.0095523,           0.0073133,          0.00030798,            0.004324,            0.004324,            0.004324
                  88,            0.012046,            0.009065,          0.00033671,             0.99398,             0.99326,               0.995,              0.9183,           0.0093075,           0.0072864,          0.00032621,            0.004258,            0.004258,            0.004258
                  89,            0.011576,            0.008452,          0.00035427,             0.99478,             0.99032,             0.99478,             0.92836,           0.0090475,           0.0072652,          0.00031736,            0.004192,            0.004192,            0.004192
                  90,            0.012015,           0.0088478,          0.00033184,             0.99614,             0.99647,               0.995,               0.919,           0.0096903,           0.0072008,          0.00028976,            0.004126,            0.004126,            0.004126
                  91,            0.011261,            0.008643,          0.00031874,             0.99327,              0.9935,             0.99493,             0.92651,           0.0086231,           0.0069224,          0.00030088,             0.00406,             0.00406,             0.00406
                  92,            0.011521,           0.0088894,          0.00039127,             0.99492,             0.99331,             0.99487,             0.93135,           0.0088314,           0.0069337,          0.00034094,            0.003994,            0.003994,            0.003994
                  93,            0.011551,            0.008531,          0.00039559,             0.99492,              0.9935,              0.9945,             0.91962,           0.0092646,            0.007451,          0.00028975,            0.003928,            0.003928,            0.003928
                  94,            0.011255,           0.0087071,          0.00032707,             0.99523,             0.99339,             0.99427,             0.91963,           0.0088923,           0.0070484,          0.00028494,            0.003862,            0.003862,            0.003862
